Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,Notes
1,C,F,F,1,128,Close to edge. Possibly bad qual.
2,C,F,F,1,128,
3,C,F,F,1,199,
4,C,F,F,1,199,
5,C,F,F,1,206,
6,C,F,F,1,206,
7,C,F,F,1,206,
8,NA,T,NA,1,NA,
9,HS,F,F,1,128,
10,HS,F,F,1,128,
11,HS,F,F,1,199,
12,HS,F,F,1,199,
13,HS,F,F,1,206,
14,HS,F,F,1,206,
15,HS,F,F,1,206,
16,NA,T,NA,1,NA,
17,R,F,F,1,128,
18,R,F,F,1,128,
19,R,F,F,1,199,
20,R,F,F,1,199,
21,R,F,F,1,206,
22,R,F,F,1,206,
23,R,F,F,1,206,
24,C,F,F,1,128,Close to edge. Possibly bad qual.
25,C,F,F,1,128,
26,C,F,F,1,199,
27,C,F,F,1,199,
28,C,F,F,1,206,
29,C,F,F,1,206,
30,C,F,F,1,206,
31,NA,T,NA,1,NA,
32,HS,F,F,1,128,
33,HS,F,F,1,128,
34,HS,F,F,1,199,
35,HS,F,F,1,199,
36,HS,F,F,1,206,
37,HS,F,F,1,206,
38,NA,F,F,1,206,
39,NA,T,NA,1,NA,
40,R,F,F,1,128,
41,R,F,F,1,128,
42,R,F,F,1,199,
43,R,F,F,1,199,
44,R,F,F,1,206,
45,R,F,F,1,206,
46,R,F,F,1,206,
47,C,F,F,1,128,Close to edge. Possibly bad qual.
48,C,F,F,1,128,
49,C,F,F,1,199,
50,C,F,F,1,199,
51,C,F,F,1,206,
52,C,F,F,1,206,
53,C,F,F,1,206,
54,NA,T,NA,1,NA,
55,HS,F,F,1,128,
56,HS,F,F,1,128,
57,HS,F,F,1,199,
58,HS,F,F,1,199,
59,HS,F,F,1,206,
60,HS,F,F,1,206,
61,HS,F,F,1,206,
62,NA,T,NA,1,NA,
63,R,F,F,1,128,
64,R,F,F,1,128,
65,R,F,F,1,199,
66,R,F,F,1,199,
67,R,F,F,1,206,
68,R,F,F,1,206,
69,R,F,F,1,206,
70,C,F,F,1,128,Close to edge. Possibly bad qual.
71,C,F,F,1,128,
72,C,F,F,1,199,
73,C,F,F,1,199,
74,C,F,F,1,206,
75,C,F,F,1,206,
76,C,F,F,1,206,
77,NA,T,NA,1,NA,
78,HS,F,F,1,128,
79,HS,F,F,1,128,
80,HS,F,F,1,199,
81,HS,F,F,1,199,
82,HS,F,F,1,206,
83,HS,F,F,1,206,
84,HS,F,F,1,206,
85,NA,T,NA,1,NA,
86,R,F,F,1,128,
87,R,F,F,1,128,
88,R,F,F,1,199,
89,R,F,F,1,199,
90,R,F,F,1,206,
91,R,F,F,1,206,
92,R,F,F,1,206,
93,C,F,F,1,128,Close to edge. Possibly bad qual.
94,C,F,F,1,128,
95,C,F,F,1,199,
96,C,F,F,1,199,
97,C,F,F,1,206,
98,C,F,F,1,206,
99,C,F,F,1,206,
100,NA,T,NA,1,NA,
101,HS,F,F,1,128,
102,HS,F,F,1,128,
103,HS,F,F,1,199,
104,HS,F,F,1,199,
105,HS,F,F,1,206,
106,HS,F,F,1,206,
107,HS,F,F,1,206,
108,NA,T,NA,1,NA,
109,R,F,F,1,128,
110,R,F,F,1,128,
111,R,F,F,1,199,
112,R,F,F,1,199,
113,R,F,F,1,206,
114,R,F,F,1,206,
115,R,F,F,1,206,
116,R,F,F,2,205,Close to edge. Possibly bad qual.
117,R,F,F,2,205,
118,R,F,F,2,188,
119,R,F,F,2,188,
120,R,F,F,2,137,
121,R,F,F,2,137,
122,NA,T,NA,2,NA,
123,NA,T,NA,2,NA,
124,C,F,F,2,205,
125,C,F,F,2,205,
126,C,F,F,2,188,
127,C,F,F,2,188,
128,C,F,F,2,137,
129,C,F,F,2,137,
130,C,T,NA,2,NA,
131,NA,T,NA,2,NA,
132,HS,F,F,2,205,
133,HS,F,F,2,205,
134,HS,F,F,2,188,
135,HS,F,F,2,188,
136,HS,F,F,2,137,
137,HS,F,F,2,137,
138,NA,T,NA,2,NA,
139,R,F,F,2,205,Close to edge. Possibly bad qual.
140,R,F,F,2,205,
141,R,F,F,2,188,
142,R,F,F,2,188,
143,R,F,F,2,137,
144,R,F,F,2,137,
145,NA,T,NA,2,NA,
146,NA,T,NA,2,NA,
147,C,F,F,2,205,
148,C,F,F,2,205,
149,C,F,F,2,188,
150,C,F,F,2,188,
151,C,F,F,2,137,
152,C,F,F,2,137,
153,NA,T,NA,2,NA,
154,NA,T,NA,2,NA,
155,HS,F,F,2,205,
156,HS,F,F,2,205,
157,HS,F,F,2,188,
158,HS,F,F,2,188,
159,HS,F,F,2,137,
160,HS,F,F,2,137,
161,NA,T,NA,2,NA,
162,R,F,F,2,205,Close to edge. Possibly bad qual.
163,R,F,F,2,205,
164,R,F,F,2,188,
165,R,F,F,2,188,
166,R,F,F,2,137,
167,R,F,F,2,137,
168,NA,T,NA,2,NA,
169,NA,T,NA,2,NA,
170,C,F,F,2,205,
171,C,F,F,2,205,
172,C,F,F,2,188,
173,C,F,F,2,188,
174,C,F,F,2,137,
175,C,F,F,2,137,
176,NA,T,NA,2,NA,
177,NA,T,NA,2,NA,
178,HS,F,F,2,205,
179,HS,F,F,2,205,
180,HS,F,F,2,188,
181,HS,F,F,2,188,
182,HS,F,F,2,137,
183,HS,F,F,2,137,
184,NA,T,NA,2,NA,
185,R,F,F,2,205,Close to edge. Possibly bad qual.
186,R,F,F,2,205,
187,R,F,F,2,188,
188,R,F,F,2,188,
189,R,F,F,2,137,
190,R,F,F,2,137,
191,NA,T,NA,2,NA,
192,NA,T,NA,2,NA,
193,C,F,F,2,205,
194,C,F,F,2,205,
195,C,F,F,2,188,
196,C,F,F,2,188,
197,C,F,F,2,137,
198,C,F,F,2,137,
199,NA,T,NA,2,NA,
200,NA,T,NA,2,NA,
201,HS,F,F,2,205,
202,HS,F,F,2,205,
203,HS,F,F,2,188,
204,HS,F,F,2,188,
205,HS,F,F,2,137,
206,HS,F,F,2,137,
207,NA,T,NA,2,NA,
208,R,F,F,2,205,Close to edge. Possibly bad qual.
209,R,F,F,2,205,
210,R,F,F,2,188,
211,R,F,F,2,188,
212,R,F,F,2,137,
213,R,F,F,2,137,
214,NA,T,NA,2,NA,
215,NA,T,NA,2,NA,
216,C,F,F,2,205,
217,C,F,F,2,205,
218,C,F,F,2,188,
219,C,F,F,2,188,
220,C,F,F,2,137,
221,C,F,F,2,137,
222,NA,T,NA,2,NA,
223,NA,T,NA,2,NA,
224,HS,F,F,2,205,
225,HS,F,F,2,205,
226,HS,F,F,2,188,
227,HS,F,F,2,188,
228,HS,F,F,2,137,
229,HS,F,F,2,137,
230,NA,T,NA,2,NA,
231,HS,F,F,3,138,Close to edge. Possibly bad qual.
232,HS,F,F,3,138,
233,HS,F,F,3,165,
234,HS,F,F,3,165,
235,HS,F,F,3,191,
236,HS,F,F,3,191,
237,NA,T,NA,3,NA,
238,NA,T,NA,3,NA,
239,R,F,F,3,138,
240,R,F,F,3,138,
241,R,F,F,3,165,
242,R,F,F,3,165,
243,R,F,F,3,191,
244,R,F,F,3,191,
245,NA,T,NA,3,NA,
246,NA,T,NA,3,NA,
247,C,F,F,3,138,
248,C,F,F,3,138,
249,C,F,F,3,165,
250,C,F,F,3,165,
251,C,F,F,3,191,
252,C,F,F,3,191,
253,NA,T,NA,3,NA,
254,HS,F,F,3,138,Close to edge. Possibly bad qual.
255,HS,F,F,3,138,
256,HS,F,F,3,165,
257,HS,F,F,3,165,
258,HS,F,F,3,191,
259,HS,F,F,3,191,
260,NA,T,NA,3,NA,
261,NA,T,NA,3,NA,
262,R,F,F,3,138,
263,R,F,F,3,138,
264,R,F,F,3,165,
265,R,F,F,3,165,
266,R,F,F,3,191,
267,R,F,F,3,191,
268,NA,T,NA,3,NA,
269,NA,T,NA,3,NA,
270,C,F,F,3,138,
271,C,F,F,3,138,
272,C,F,F,3,165,
273,C,F,F,3,165,
274,C,F,F,3,191,
275,C,F,F,3,191,
276,NA,T,NA,3,NA,
277,HS,F,F,3,138,Close to edge. Possibly bad qual.
278,HS,F,F,3,138,
279,HS,F,F,3,165,
280,HS,F,F,3,165,
281,HS,F,F,3,191,
282,HS,F,F,3,191,
283,NA,T,NA,3,NA,
284,NA,T,NA,3,NA,
285,R,F,F,3,138,
286,R,F,F,3,138,
287,R,F,F,3,165,
288,R,F,F,3,165,
289,R,F,F,3,191,
290,R,F,F,3,191,
291,NA,T,NA,3,NA,
292,NA,T,NA,3,NA,
293,C,F,F,3,138,
294,C,F,F,3,138,
295,C,F,F,3,165,
296,C,F,F,3,165,
297,C,F,F,3,191,
298,C,F,F,3,191,
299,NA,T,NA,3,NA,
300,HS,F,F,3,138,Close to edge. Possibly bad qual.
301,HS,F,F,3,138,
302,HS,F,F,3,165,
303,HS,F,F,3,165,
304,HS,F,F,3,191,
305,HS,F,F,3,191,
306,NA,T,NA,3,NA,
307,NA,T,NA,3,NA,
308,R,F,F,3,138,
309,R,F,F,3,138,
310,R,F,F,3,165,
311,R,F,F,3,165,
312,R,F,F,3,191,
313,R,F,F,3,191,
314,NA,T,NA,3,NA,
315,NA,T,NA,3,NA,
316,C,F,F,3,138,
317,C,F,F,3,138,
318,C,F,F,3,165,
319,C,F,F,3,165,
320,C,F,F,3,191,
321,C,F,F,3,191,
322,NA,T,NA,3,NA,
323,HS,F,F,3,138,Close to edge. Possibly bad qual.
324,HS,F,F,3,138,
325,HS,F,F,3,165,
326,HS,F,F,3,165,
327,HS,F,F,3,191,
328,HS,F,F,3,191,
329,NA,T,NA,3,NA,
330,NA,T,NA,3,NA,
331,R,F,F,3,138,
332,R,F,F,3,138,
333,R,F,F,3,165,
334,R,F,F,3,165,
335,R,F,F,3,191,
336,R,F,F,3,191,
337,NA,T,NA,3,NA,
338,NA,T,NA,3,NA,
339,C,F,F,3,138,
340,C,F,F,3,138,
341,C,F,F,3,165,
342,C,F,F,3,165,
343,C,F,F,3,191,
344,C,F,F,3,191,
345,NA,T,NA,3,NA,
