Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes,Row
1,C,T,NA,1,NA,07/06/2019 17:09:43,,1
2,C,F,T,1,186,07/06/2019 17:09:43,,1
3,C,F,F,1,188,07/06/2019 17:09:43,,1
4,C,T,NA,1,NA,07/06/2019 17:09:43,,1
5,C,F,F,1,192,07/06/2019 17:09:43,,1
6,C,F,T,1,195,07/06/2019 17:09:43,,1
7,C,F,F,1,197,07/06/2019 17:09:43,,1
8,C,F,T,1,200,07/06/2019 17:09:43,,1
9,C,F,F,1,202,07/06/2019 17:09:43,,1
10,C,T,NA,1,NA,07/06/2019 17:09:43,,1
11,C,F,F,1,207,07/06/2019 17:09:43,,1
12,C,T,NA,1,NA,07/06/2019 17:09:43,,1
13,C,F,F,1,211,07/06/2019 17:09:43,,1
14,C,F,T,1,214,07/06/2019 17:09:43,,1
15,C,F,F,1,216,07/06/2019 17:09:43,,1
16,C,F,T,1,184,07/06/2019 17:09:43,,2
17,C,F,F,1,186,07/06/2019 17:09:43,,2
18,C,F,T,1,189,07/06/2019 17:09:43,,2
19,C,F,T,1,191,07/06/2019 17:09:43,,2
20,C,F,T,1,193,07/06/2019 17:09:43,,2
21,C,F,F,1,195,07/06/2019 17:09:43,,2
22,C,F,T,1,198,07/06/2019 17:09:43,,2
23,C,F,F,1,200,07/06/2019 17:09:43,,2
24,C,F,T,1,203,07/06/2019 17:09:43,,2
25,C,F,F,1,205,07/06/2019 17:09:43,,2
26,C,F,T,1,208,07/06/2019 17:09:43,,2
27,C,F,T,1,210,07/06/2019 17:09:43,,2
28,C,F,T,1,212,07/06/2019 17:09:43,,2
29,C,F,F,1,214,07/06/2019 17:09:43,,2
30,C,F,T,1,217,07/06/2019 17:09:43,,2
31,C,F,F,1,184,07/06/2019 17:09:43,,3
32,C,F,T,1,187,07/06/2019 17:09:43,,3
33,C,F,F,1,189,07/06/2019 17:09:43,,3
34,C,F,F,1,191,07/06/2019 17:09:43,,3
35,C,F,F,1,193,07/06/2019 17:09:43,,3
36,C,T,NA,1,NA,07/06/2019 17:09:43,,3
37,C,F,F,1,198,07/06/2019 17:09:43,,3
38,C,F,T,1,201,07/06/2019 17:09:43,,3
39,C,F,F,1,203,07/06/2019 17:09:43,,3
40,C,F,T,1,206,07/06/2019 17:09:43,,3
41,C,F,F,1,208,07/06/2019 17:09:43,,3
42,C,F,F,1,210,07/06/2019 17:09:43,,3
43,C,F,F,1,212,07/06/2019 17:09:43,,3
44,C,F,T,1,215,07/06/2019 17:09:43,,3
45,C,F,F,1,217,07/06/2019 17:09:43,,3
46,C,F,T,1,185,07/06/2019 17:09:43,,4
47,C,F,F,1,187,07/06/2019 17:09:43,,4
48,C,F,T,1,190,07/06/2019 17:09:43,,4
49,C,F,T,1,192,07/06/2019 17:09:43,,4
50,C,F,T,1,194,07/06/2019 17:09:43,,4
51,C,T,NA,1,NA,07/06/2019 17:09:43,,4
52,C,F,T,1,199,07/06/2019 17:09:43,,4
53,C,F,F,1,201,07/06/2019 17:09:43,,4
54,C,F,T,1,204,07/06/2019 17:09:43,,4
55,C,F,F,1,206,07/06/2019 17:09:43,,4
56,C,F,T,1,209,07/06/2019 17:09:43,,4
57,C,F,T,1,211,07/06/2019 17:09:43,,4
58,C,F,T,1,213,07/06/2019 17:09:43,,4
59,C,F,F,1,215,07/06/2019 17:09:43,,4
60,C,F,T,1,218,07/06/2019 17:09:43,,4
61,C,F,F,1,185,07/06/2019 17:09:43,,5
62,C,F,T,1,188,07/06/2019 17:09:43,,5
63,C,F,F,1,190,07/06/2019 17:09:43,,5
64,C,T,NA,1,NA,07/06/2019 17:09:43,,5
65,C,F,F,1,194,07/06/2019 17:09:43,,5
66,C,F,T,1,197,07/06/2019 17:09:43,,5
67,C,F,F,1,199,07/06/2019 17:09:43,,5
68,C,F,T,1,202,07/06/2019 17:09:43,,5
69,C,F,F,1,204,07/06/2019 17:09:43,,5
70,C,F,T,1,207,07/06/2019 17:09:43,,5
71,C,F,F,1,209,07/06/2019 17:09:43,,5
72,C,T,NA,1,NA,07/06/2019 17:09:43,,5
73,C,F,F,1,213,07/06/2019 17:09:43,,5
74,C,T,NA,1,NA,07/06/2019 17:09:43,,5
75,C,F,F,1,218,07/06/2019 17:09:43,,5
76,C,F,T,2,119,07/06/2019 17:09:43,,1
77,C,F,F,2,121,07/06/2019 17:09:43,,1
78,C,F,T,2,124,07/06/2019 17:09:43,,1
79,C,T,NA,2,NA,07/06/2019 17:09:43,,1
80,C,F,T,2,128,07/06/2019 17:09:43,,1
81,C,F,F,2,130,07/06/2019 17:09:43,,1
82,C,F,T,2,133,07/06/2019 17:09:43,,1
83,C,F,F,2,135,07/06/2019 17:09:43,,1
84,C,F,T,2,138,07/06/2019 17:09:43,,1
85,C,F,F,2,140,07/06/2019 17:09:43,,1
86,C,F,T,2,143,07/06/2019 17:09:43,,1
87,C,T,NA,2,NA,07/06/2019 17:09:43,,1
88,C,F,T,2,147,07/06/2019 17:09:43,,1
89,C,F,F,2,149,07/06/2019 17:09:43,,1
90,C,F,T,2,152,07/06/2019 17:09:43,,1
91,C,F,F,2,119,07/06/2019 17:09:43,,2
92,C,F,T,2,122,07/06/2019 17:09:43,,2
93,C,F,F,2,124,07/06/2019 17:09:43,,2
94,C,F,F,2,126,07/06/2019 17:09:43,,2
95,C,F,F,2,128,07/06/2019 17:09:43,,2
96,C,F,T,2,131,07/06/2019 17:09:43,,2
97,C,F,F,2,133,07/06/2019 17:09:43,,2
98,C,T,NA,2,NA,07/06/2019 17:09:43,,2
99,C,F,F,2,138,07/06/2019 17:09:43,,2
100,C,F,T,2,141,07/06/2019 17:09:43,,2
101,C,F,F,2,143,07/06/2019 17:09:43,,2
102,C,F,F,2,145,07/06/2019 17:09:43,,2
103,C,F,F,2,147,07/06/2019 17:09:43,,2
104,C,F,T,2,150,07/06/2019 17:09:43,,2
105,C,F,F,2,152,07/06/2019 17:09:43,,2
106,C,F,T,2,120,07/06/2019 17:09:43,,3
107,C,F,F,2,122,07/06/2019 17:09:43,,3
108,C,F,T,2,125,07/06/2019 17:09:43,,3
109,C,F,T,2,127,07/06/2019 17:09:43,,3
110,C,F,T,2,129,07/06/2019 17:09:43,,3
111,C,F,F,2,131,07/06/2019 17:09:43,,3
112,C,F,T,2,134,07/06/2019 17:09:43,,3
113,C,T,NA,2,NA,07/06/2019 17:09:43,,3
114,C,F,T,2,139,07/06/2019 17:09:43,,3
115,C,F,F,2,141,07/06/2019 17:09:43,,3
116,C,F,T,2,144,07/06/2019 17:09:43,,3
117,C,F,T,2,146,07/06/2019 17:09:43,,3
118,C,F,T,2,148,07/06/2019 17:09:43,,3
119,C,F,F,2,150,07/06/2019 17:09:43,,3
120,C,F,T,2,153,07/06/2019 17:09:43,,3
121,C,F,F,2,120,07/06/2019 17:09:43,,4
122,C,F,T,2,123,07/06/2019 17:09:43,,4
123,C,F,F,2,125,07/06/2019 17:09:43,,4
124,C,F,F,2,127,07/06/2019 17:09:43,,4
125,C,F,F,2,129,07/06/2019 17:09:43,,4
126,C,F,T,2,132,07/06/2019 17:09:43,,4
127,C,F,F,2,134,07/06/2019 17:09:43,,4
128,C,F,T,2,137,07/06/2019 17:09:43,,4
129,C,F,T,2,139,07/06/2019 17:09:43,,4
130,C,F,F,2,142,07/06/2019 17:09:43,,4
131,C,F,F,2,144,07/06/2019 17:09:43,,4
132,C,F,F,2,146,07/06/2019 17:09:43,,4
133,C,F,F,2,148,07/06/2019 17:09:43,,4
134,C,F,T,2,151,07/06/2019 17:09:43,,4
135,C,F,F,2,153,07/06/2019 17:09:43,,4
136,C,F,T,2,121,07/06/2019 17:09:43,,5
137,C,F,F,2,123,07/06/2019 17:09:43,,5
138,C,F,T,2,126,07/06/2019 17:09:43,,5
139,C,F,NA,2,NA,07/06/2019 17:09:43,,5
140,C,F,T,2,130,07/06/2019 17:09:43,,5
141,C,F,F,2,132,07/06/2019 17:09:43,,5
142,C,F,T,2,135,07/06/2019 17:09:43,,5
143,C,F,F,2,137,07/06/2019 17:09:43,,5
144,C,F,T,2,140,07/06/2019 17:09:43,,5
145,C,F,F,2,142,07/06/2019 17:09:43,,5
146,C,F,T,2,145,07/06/2019 17:09:43,,5
147,C,F,NA,2,NA,07/06/2019 17:09:43,,5
148,C,F,T,2,149,07/06/2019 17:09:43,,5
149,C,F,F,2,151,07/06/2019 17:09:43,,5
150,C,F,NA,2,NA,07/06/2019 17:09:43,,5
151,C,F,T,3,154,07/06/2019 17:09:43,,1
152,C,F,F,3,156,07/06/2019 17:09:43,,1
153,C,F,T,3,159,07/06/2019 17:09:43,,1
154,C,T,NA,3,NA,07/06/2019 17:09:43,,1
155,C,F,T,3,163,07/06/2019 17:09:43,,1
156,C,F,T,3,164,07/06/2019 17:09:43,,1
157,C,F,F,3,166,07/06/2019 17:09:43,,1
158,C,F,T,3,169,07/06/2019 17:09:43,,1
159,C,F,T,3,171,07/06/2019 17:09:43,,1
160,C,T,NA,3,NA,07/06/2019 17:09:43,,1
161,C,F,T,3,173,07/06/2019 17:09:43,,1
162,C,T,NA,3,NA,07/06/2019 17:09:43,,1
163,C,F,T,3,177,07/06/2019 17:09:43,,1
164,C,F,T,3,179,07/06/2019 17:09:43,,1
165,C,F,F,3,181,07/06/2019 17:09:43,,1
166,C,F,F,3,154,07/06/2019 17:09:43,,2
167,C,F,T,3,157,07/06/2019 17:09:43,,2
168,C,F,F,3,159,07/06/2019 17:09:43,,2
169,C,F,F,3,161,07/06/2019 17:09:43,,2
170,C,F,F,3,163,07/06/2019 17:09:43,,2
171,C,F,F,3,164,07/06/2019 17:09:43,,2
172,C,F,T,3,167,07/06/2019 17:09:43,,2
173,C,F,F,3,169,07/06/2019 17:09:43,,2
174,C,F,F,3,171,07/06/2019 17:09:43,,2
175,C,T,NA,3,NA,07/06/2019 17:09:43,,2
176,C,F,F,3,173,07/06/2019 17:09:43,,2
177,C,F,F,3,175,07/06/2019 17:09:43,,2
178,C,F,F,3,177,07/06/2019 17:09:43,,2
179,C,F,F,3,179,07/06/2019 17:09:43,,2
180,C,F,T,3,182,07/06/2019 17:09:43,,2
181,C,F,T,3,155,07/06/2019 17:09:43,,3
182,C,F,F,3,157,07/06/2019 17:09:43,,3
183,C,F,T,3,160,07/06/2019 17:09:43,,3
184,C,F,T,3,162,07/06/2019 17:09:43,,3
185,C,T,NA,3,NA,07/06/2019 17:09:43,,3
186,C,F,T,3,165,07/06/2019 17:09:43,,3
187,C,F,F,3,167,07/06/2019 17:09:43,,3
188,C,T,NA,3,NA,07/06/2019 17:09:43,,3
189,C,T,NA,3,NA,07/06/2019 17:09:43,,3
190,C,T,NA,3,NA,07/06/2019 17:09:43,,3
191,C,F,T,3,174,07/06/2019 17:09:43,,3
192,C,F,T,3,176,07/06/2019 17:09:43,,3
193,C,T,NA,3,NA,07/06/2019 17:09:43,,3
194,C,F,T,3,180,07/06/2019 17:09:43,,3
195,C,F,F,3,182,07/06/2019 17:09:43,,3
196,C,F,F,3,155,07/06/2019 17:09:43,,4
197,C,F,T,3,158,07/06/2019 17:09:43,,4
198,C,F,F,3,160,07/06/2019 17:09:43,,4
199,C,F,F,3,162,07/06/2019 17:09:43,,4
200,C,T,NA,3,NA,07/06/2019 17:09:43,,4
201,C,F,F,3,165,07/06/2019 17:09:43,,4
202,C,T,NA,3,NA,07/06/2019 17:09:43,,4
203,C,F,T,3,172,07/06/2019 17:09:43,,4
204,C,T,NA,3,NA,07/06/2019 17:09:43,,4
205,C,T,NA,3,NA,07/06/2019 17:09:43,,4
206,C,F,F,3,174,07/06/2019 17:09:43,,4
207,C,F,F,3,176,07/06/2019 17:09:43,,4
208,C,F,T,3,178,07/06/2019 17:09:43,,4
209,C,F,F,3,180,07/06/2019 17:09:43,,4
210,C,F,T,3,183,07/06/2019 17:09:43,,4
211,C,F,T,3,156,07/06/2019 17:09:43,,5
212,C,F,F,3,158,07/06/2019 17:09:43,,5
213,C,F,T,3,161,07/06/2019 17:09:43,,5
214,C,F,NA,3,NA,07/06/2019 17:09:43,,5
215,C,F,NA,3,NA,07/06/2019 17:09:43,,5
216,C,F,T,3,166,07/06/2019 17:09:43,,5
217,C,F,NA,3,NA,07/06/2019 17:09:43,,5
218,C,F,F,3,172,07/06/2019 17:09:43,,5
219,C,F,NA,3,NA,07/06/2019 17:09:43,,5
220,C,F,NA,3,NA,07/06/2019 17:09:43,,5
221,C,F,T,3,175,07/06/2019 17:09:43,,5
222,C,F,NA,3,NA,07/06/2019 17:09:43,,5
223,C,F,F,3,178,07/06/2019 17:09:43,,5
224,C,F,T,3,181,07/06/2019 17:09:43,,5
225,C,F,F,3,182,07/06/2019 17:09:43,,5